State,County,Urban,TOTALPOP,PERCENT_LOWA_Pop,LOWA_POP,PERCENT_LOWI,LOWI,PERCENT_HUNV,HUNV,PERCENT_KIDS,KIDS,PERCENT_SENIORS,SENIORS
AL,Autauga,Yes,1892,43.9,830,10,191,3.5,24,14,265,4.7,89
AL,Baldwin,Yes,3724,44.2,1645,10.3,382,4.8,62,14.8,552,4.5,167
AL,Barbour,No,4342,11.9,515,2.7,81,2.3,28,3.7,159,2,85
AL,Bullock,No,1705,84.1,1434,33.3,567,14.6,99,25.1,428,13,221
AL,Butler,No,1693,42.7,724,10.9,181,1,6,12.8,216,6.9,117
AL,Calhoun,Yes,2777,50.5,1402,14.6,422,5.2,60,11.8,328,7.9,219
AL,Chambers,Yes,1455,59.3,863,11.9,179,11.6,64,14.1,206,9.2,134
AL,Choctaw,No,3883,73.8,2865,23.5,910,13,201,21.5,835,10.1,393
AL,Clarke,No,6076,15.2,922,5.9,356,2.2,51,4.6,280,1.7,105
AL,Colbert,Yes,3779,17.4,658,1.9,73,0.9,16,3.5,133,4.1,154
AL,Conecuh,No,3580,35.5,1270,11.7,417,3.7,55,8.6,306,5.7,205
AL,Covington,No,1666,40.2,670,5.7,96,0.9,6,8.6,143,7.7,128
AL,Crenshaw,No,1855,80,1485,23.1,437,11.7,89,20.9,387,12.4,230
AL,Dale,No,3847,20.8,800,4.3,167,1.2,19,5.4,207,3.2,122
AL,Dallas,Yes,4046,43.1,1744,19.1,772,11,170,13.7,555,6.5,262
AL,Escambia,No,5848,15.8,926,3,174,1.5,36,3.6,210,2.6,149
AL,Etowah,Yes,3900,64.1,2499,15.8,602,4.6,70,15.2,594,12.7,494
AL,Greene,No,1900,73.7,1400,24.1,457,9.1,69,20.2,384,11.5,218
AL,Jefferson,Yes,4744,69.3,3286,17.2,789,5.2,93,20.7,980,8.4,398
AL,Lauderdale,Yes,2807,18.9,530,3.8,98,1,13,3.6,102,4.6,128
AL,Lee,Yes,6413,41.5,2662,8.4,535,1,25,8,516,5.8,372
AL,Limestone,Yes,2775,65.2,1810,14.5,355,8.2,89,15.8,438,15.3,423
AL,Lowndes,No,3949,13.3,527,2.9,111,1.2,17,3.4,135,1.8,72
AL,Macon,Yes,1582,64.9,1027,31.8,555,16.9,113,23.7,374,7.1,112
AL,Madison,Yes,2651,41.2,1092,9.3,181,4.2,44,7.3,193,2.9,76
AL,Marengo,No,2202,32,705,10.3,226,5.6,47,7.2,158,5.8,127
AL,Mobile,Yes,2092,100,2092,80.6,1575,65.6,439,53.6,1121,3.7,78
AL,Monroe,No,1613,100,1613,33.2,536,19,121,27.4,442,17.7,285
AL,Montgomery,Yes,1677,46,771,25.2,385,32.6,196,20.4,341,1.9,33
AL,Morgan,Yes,4462,37.1,1656,11.2,468,7.3,129,11,492,5,223
AL,Perry,No,1334,35.1,468,7.2,99,2.8,15,7.9,105,6.1,81
AL,Pickens,No,6156,8.8,545,2.1,126,1.4,32,2.6,162,1.4,86
AL,Russell,Yes,5376,40.6,2180,9.1,461,4.4,88,12.9,693,3.9,210
AL,Sumter,No,1021,99.9,1020,39,395,19.1,71,31.1,318,17.4,178
AL,Tuscaloosa,Yes,1948,31,603,18.5,194,17.8,112,0.8,16,8.8,171
AL,Wilcox,No,1684,67.8,1142,30.9,531,18,103,23.7,399,7.3,123
AZ,Apache,No,1809,100,1809,41.2,746,12,54,42.4,767,9.3,169
AZ,Cochise,No,2274,97.6,2220,22.9,520,4.3,41,22.5,511,19.7,449
AZ,Coconino,Yes,8669,26.9,2333,3.5,295,0.5,17,8.6,749,1.5,129
AZ,Gila,No,1497,75.8,1135,12.3,176,2.2,15,15.2,228,16.7,250
AZ,Graham,No,4601,100,4601,48.4,2218,26.7,275,45.8,2105,3.6,166
AZ,La Paz,No,2666,99.8,2661,26,690,3.8,45,19.1,508,32.2,859
AZ,Maricopa,No,2196,99.5,2184,25.8,561,7,51,31.3,688,10.3,226
AZ,Mohave,No,1323,37.2,492,13.5,172,9.2,31,16.3,215,1.1,15
AZ,Navajo,No,3442,40.4,1390,22.8,747,15,130,19.2,662,1.4,48
AZ,Pima,Yes,3229,55.4,1790,19.7,615,9.9,175,6.4,206,2.9,93
AZ,Pinal,Yes,12309,32.6,4012,2.7,328,1.3,66,9.4,1157,4.9,609
AZ,Santa Cruz,Yes,3645,16.3,596,4.3,155,0.5,5,4.8,175,2.4,86
AZ,Yavapai,No,1891,99.3,1877,20.9,396,7,55,24.1,457,14.8,280
AZ,Yuma,Yes,3839,48.1,1845,11.4,436,6.3,76,16.9,648,7.2,276
AR,Ashley,No,2457,78.2,1921,18.2,444,12.2,111,23.2,569,11.2,275
AR,Benton,Yes,3490,15.7,548,3.3,110,0.9,13,5,174,1.4,47
AR,Bradley,No,3465,23.7,822,7.6,263,2.7,34,3.9,135,3.7,129
AR,Carroll,No,7189,13.1,939,2,141,0.3,8,3.4,246,1.9,137
AR,Crittenden,Yes,4173,14,584,4.7,194,1.7,22,6.3,262,0.2,7
AR,Desha,No,2122,73.6,1562,20.1,424,8,67,17.9,380,11.9,252
AR,Fulton,No,5779,22.9,1326,3.8,218,1.2,27,5.4,312,3.5,203
AR,Garland,Yes,2640,100,2640,28.9,612,26.1,265,18.4,487,20.6,545
AR,Hempstead,No,3093,44.5,1377,9.7,299,3.7,44,11.4,353,7,218
AR,Hot Spring,Yes,3302,17.4,574,4.1,136,1.4,18,5,164,2.8,92
AR,Howard,Yes,4866,10.4,508,1.6,73,0.8,15,2.6,125,1.5,75
AR,Lafayette,No,3122,50.5,1576,14.3,439,8.7,113,15.3,479,8.5,265
AR,Lawrence,No,1992,26.4,525,5.9,118,1.2,9,6.7,133,3.9,78
AR,Lincoln,No,4443,66.5,2954,10.5,250,4.4,39,6.6,292,3.1,136
