FIPS,State,County,PCT_DIABETES_ADULTS,PCT_OBESE_ADULTS
1001,AL,Autauga,11.8,30.5
1003,AL,Baldwin,11.8,26.6
1005,AL,Barbour,14.2,37.3
1007,AL,Bibb,11.1,34.3
1009,AL,Blount,14,30.4
1011,AL,Bullock,17.5,42.1
1013,AL,Butler,16,38.3
1015,AL,Calhoun,13.9,33.2
1017,AL,Chambers,15,35.4
1019,AL,Cherokee,13.6,31.4
1021,AL,Chilton,12.5,38.3
1023,AL,Choctaw,17.3,38.9
1025,AL,Clarke,15.7,36
1027,AL,Clay,14.7,35.3
1029,AL,Cleburne,13.3,31.3
1031,AL,Coffee,12.6,29.9
1033,AL,Colbert,13.7,32.2
1035,AL,Conecuh,17.7,36.3
1037,AL,Coosa,15.6,34.3
1039,AL,Covington,13.7,33.8
1041,AL,Crenshaw,14.8,35.7
1043,AL,Cullman,13,32.4
1045,AL,Dale,13.9,35.3
1047,AL,Dallas,15.1,41.4
1049,AL,DeKalb,12.9,32.4
1051,AL,Elmore,12.3,30.6
1053,AL,Escambia,13.2,36.9
1055,AL,Etowah,14.1,31.8
1057,AL,Fayette,15.8,36.4
1059,AL,Franklin,14.2,34.3
1061,AL,Geneva,13.6,34
1063,AL,Greene,19.4,47.9
1065,AL,Hale,16.3,41.6
1067,AL,Henry,14.3,34.6
1069,AL,Houston,13,34.9
1071,AL,Jackson,13.4,30
1073,AL,Jefferson,11.7,32.2
1075,AL,Lamar,13.8,31.3
1077,AL,Lauderdale,12.5,32.2
1079,AL,Lawrence,14.1,37.7
1081,AL,Lee,9.8,32
1083,AL,Limestone,10.7,33.8
1085,AL,Lowndes,19.3,43.8
1087,AL,Macon,16.6,39.2
1089,AL,Madison,11.7,30
1091,AL,Marengo,17.4,41.6
1093,AL,Marion,12.9,33
1095,AL,Marshall,13.6,31.5
1097,AL,Mobile,12.1,33.9
1099,AL,Monroe,13.9,35.9
1101,AL,Montgomery,14.3,35.3
1103,AL,Morgan,11.9,28.5
1105,AL,Perry,18.2,38.9
1107,AL,Pickens,15.7,38.5
1109,AL,Pike,14.6,36
1111,AL,Randolph,14.8,34.2
1113,AL,Russell,13.2,36.5
1115,AL,St. Clair,13.5,32.9
1117,AL,Shelby,8.9,29.6
1119,AL,Sumter,16,40.1
1121,AL,Talladega,14.1,38.4
1123,AL,Tallapoosa,14,35.1
1125,AL,Tuscaloosa,10.5,33.2
1127,AL,Walker,15.1,36
1129,AL,Washington,13.4,35.9
1131,AL,Wilcox,18.1,41.6
1133,AL,Winston,12.1,35.7
2013,AK,Aleutians East,7.7,32.3
2016,AK,Aleutians West,6.7,30
2020,AK,Anchorage,7,25.7
2050,AK,Bethel,6.7,31.5
2060,AK,Bristol Bay,8.3,31.1
2068,AK,Denali,6.8,24.7
2070,AK,Dillingham,8.2,31.8
2090,AK,Fairbanks North Star,6.1,29.1
2100,AK,Haines,8.3,29.6
2110,AK,Juneau,6.3,26
2122,AK,Kenai Peninsula,6.7,27.5
2130,AK,Ketchikan Gateway,7.2,29.2
2150,AK,Kodiak Island,6.1,30.1
2164,AK,Lake and Peninsula,8.4,31.5
2170,AK,Matanuska-Susitna,6.8,29.8
2180,AK,Nome,7.8,35.6
2185,AK,North Slope,7.6,35.6
2188,AK,Northwest Arctic,7.2,29.7
2220,AK,Sitka,7.5,28.2
2240,AK,Southeast Fairbanks,6.7,31.7
2261,AK,Valdez-Cordova,6.7,28.3
2270,AK,Wade Hampton,6.7,27.6
2282,AK,Yakutat,8.6,31.6
2290,AK,Yukon-Koyukuk,8.2,29
4001,AZ,Apache,14.9,31.8
4003,AZ,Cochise,9,24.7
4005,AZ,Coconino,7.3,23.3
4007,AZ,Gila,11.2,26.3
4009,AZ,Graham,10.8,33.9
4011,AZ,Greenlee,9.3,34.2
4012,AZ,La Paz,13.4,31.2
4013,AZ,Maricopa,8,22.8
4015,AZ,Mohave,12,27.1
4017,AZ,Navajo,11.6,31.7
4019,AZ,Pima,7.9,24.1
4021,AZ,Pinal,10.4,31.4
4023,AZ,Santa Cruz,6.4,20.1
4025,AZ,Yavapai,9.3,23.4
4027,AZ,Yuma,9.7,31.1
5001,AR,Arkansas,14.4,35.4
5003,AR,Ashley,11.9,38
5005,AR,Baxter,10.8,28.5
5007,AR,Benton,8.7,27.6
5009,AR,Boone,11.8,27.3
5011,AR,Bradley,14,34
5013,AR,Calhoun,12,34.2
5015,AR,Carroll,11.4,28.7
5017,AR,Chicot,15.2,36.8
5019,AR,Clark,11.5,32.6
5021,AR,Clay,12.7,32
5023,AR,Cleburne,12.9,28.8
5025,AR,Cleveland,13,34.9
5027,AR,Columbia,12.7,33.5
5029,AR,Conway,12.9,35.7
5031,AR,Craighead,11.5,34.1
5033,AR,Crawford,10.2,35.9
5035,AR,Crittenden,14,38.1
5037,AR,Cross,13,36.5
5039,AR,Dallas,13.6,33
5041,AR,Desha,13.7,36.9
5043,AR,Drew,12.6,32.3
5045,AR,Faulkner,10.4,29.4
5047,AR,Franklin,12.1,33.6
5049,AR,Fulton,12.2,31.1
5051,AR,Garland,11.1,28.3
