FIPS,State,County,FOODINSEC,VLFOODSEC,FOODINSEC_CHILD
1001,AL,Autauga,17.6,7.3,9.3
1003,AL,Baldwin,17.6,7.3,9.3
1005,AL,Barbour,17.6,7.3,9.3
1007,AL,Bibb,17.6,7.3,9.3
1009,AL,Blount,17.6,7.3,9.3
1011,AL,Bullock,17.6,7.3,9.3
1013,AL,Butler,17.6,7.3,9.3
1015,AL,Calhoun,17.6,7.3,9.3
1017,AL,Chambers,17.6,7.3,9.3
1019,AL,Cherokee,17.6,7.3,9.3
1021,AL,Chilton,17.6,7.3,9.3
1023,AL,Choctaw,17.6,7.3,9.3
1025,AL,Clarke,17.6,7.3,9.3
1027,AL,Clay,17.6,7.3,9.3
1029,AL,Cleburne,17.6,7.3,9.3
1031,AL,Coffee,17.6,7.3,9.3
1033,AL,Colbert,17.6,7.3,9.3
1035,AL,Conecuh,17.6,7.3,9.3
1037,AL,Coosa,17.6,7.3,9.3
1039,AL,Covington,17.6,7.3,9.3
1041,AL,Crenshaw,17.6,7.3,9.3
1043,AL,Cullman,17.6,7.3,9.3
1045,AL,Dale,17.6,7.3,9.3
1047,AL,Dallas,17.6,7.3,9.3
1049,AL,DeKalb,17.6,7.3,9.3
1051,AL,Elmore,17.6,7.3,9.3
1053,AL,Escambia,17.6,7.3,9.3
1055,AL,Etowah,17.6,7.3,9.3
1057,AL,Fayette,17.6,7.3,9.3
1059,AL,Franklin,17.6,7.3,9.3
1061,AL,Geneva,17.6,7.3,9.3
1063,AL,Greene,17.6,7.3,9.3
1065,AL,Hale,17.6,7.3,9.3
1067,AL,Henry,17.6,7.3,9.3
1069,AL,Houston,17.6,7.3,9.3
1071,AL,Jackson,17.6,7.3,9.3
1073,AL,Jefferson,17.6,7.3,9.3
1075,AL,Lamar,17.6,7.3,9.3
1077,AL,Lauderdale,17.6,7.3,9.3
1079,AL,Lawrence,17.6,7.3,9.3
1081,AL,Lee,17.6,7.3,9.3
1083,AL,Limestone,17.6,7.3,9.3
1085,AL,Lowndes,17.6,7.3,9.3
1087,AL,Macon,17.6,7.3,9.3
1089,AL,Madison,17.6,7.3,9.3
1091,AL,Marengo,17.6,7.3,9.3
1093,AL,Marion,17.6,7.3,9.3
1095,AL,Marshall,17.6,7.3,9.3
1097,AL,Mobile,17.6,7.3,9.3
1099,AL,Monroe,17.6,7.3,9.3
1101,AL,Montgomery,17.6,7.3,9.3
1103,AL,Morgan,17.6,7.3,9.3
1105,AL,Perry,17.6,7.3,9.3
1107,AL,Pickens,17.6,7.3,9.3
1109,AL,Pike,17.6,7.3,9.3
1111,AL,Randolph,17.6,7.3,9.3
1113,AL,Russell,17.6,7.3,9.3
1115,AL,St. Clair,17.6,7.3,9.3
1117,AL,Shelby,17.6,7.3,9.3
1119,AL,Sumter,17.6,7.3,9.3
1121,AL,Talladega,17.6,7.3,9.3
1123,AL,Tallapoosa,17.6,7.3,9.3
1125,AL,Tuscaloosa,17.6,7.3,9.3
1127,AL,Walker,17.6,7.3,9.3
1129,AL,Washington,17.6,7.3,9.3
1131,AL,Wilcox,17.6,7.3,9.3
1133,AL,Winston,17.6,7.3,9.3
2013,AK,Aleutians East,13.3,4.4,8
2016,AK,Aleutians West,13.3,4.4,8
2020,AK,Anchorage,13.3,4.4,8
2050,AK,Bethel,13.3,4.4,8
2060,AK,Bristol Bay,13.3,4.4,8
2068,AK,Denali,13.3,4.4,8
2070,AK,Dillingham,13.3,4.4,8
2090,AK,Fairbanks North Star,13.3,4.4,8
2100,AK,Haines,13.3,4.4,8
2105,AK,Hoonah-Angoon,13.3,4.4,8
2110,AK,Juneau,13.3,4.4,8
2122,AK,Kenai Peninsula,13.3,4.4,8
2130,AK,Ketchikan Gateway,13.3,4.4,8
2150,AK,Kodiak Island,13.3,4.4,8
2164,AK,Lake and Peninsula,13.3,4.4,8
2170,AK,Matanuska-Susitna,13.3,4.4,8
2180,AK,Nome,13.3,4.4,8
2185,AK,North Slope,13.3,4.4,8
2188,AK,Northwest Arctic,13.3,4.4,8
2195,AK,Petersburg,13.3,4.4,8
2198,AK,Prince of Wales-Hyder,13.3,4.4,8
2220,AK,Sitka,13.3,4.4,8
2230,AK,Skagway,13.3,4.4,8
2240,AK,Southeast Fairbanks,13.3,4.4,8
2261,AK,Valdez-Cordova,13.3,4.4,8
2270,AK,Wade Hampton,13.3,4.4,8
2275,AK,Wrangell,13.3,4.4,8
2282,AK,Yakutat,13.3,4.4,8
2290,AK,Yukon-Koyukuk,13.3,4.4,8
4001,AZ,Apache,19.2,7.4,10.9
4003,AZ,Cochise,19.2,7.4,10.9
4005,AZ,Coconino,19.2,7.4,10.9
4007,AZ,Gila,19.2,7.4,10.9
4009,AZ,Graham,19.2,7.4,10.9
4011,AZ,Greenlee,19.2,7.4,10.9
4012,AZ,La Paz,19.2,7.4,10.9
4013,AZ,Maricopa,19.2,7.4,10.9
4015,AZ,Mohave,19.2,7.4,10.9
4017,AZ,Navajo,19.2,7.4,10.9
4019,AZ,Pima,19.2,7.4,10.9
4021,AZ,Pinal,19.2,7.4,10.9
4023,AZ,Santa Cruz,19.2,7.4,10.9
4025,AZ,Yavapai,19.2,7.4,10.9
4027,AZ,Yuma,19.2,7.4,10.9
5001,AR,Arkansas,14.9,6,11.5
5003,AR,Ashley,14.9,6,11.5
5005,AR,Baxter,14.9,6,11.5
5007,AR,Benton,14.9,6,11.5
5009,AR,Boone,14.9,6,11.5
5011,AR,Bradley,14.9,6,11.5
5013,AR,Calhoun,14.9,6,11.5
5015,AR,Carroll,14.9,6,11.5
5017,AR,Chicot,14.9,6,11.5
5019,AR,Clark,14.9,6,11.5
5021,AR,Clay,14.9,6,11.5
5023,AR,Cleburne,14.9,6,11.5
5025,AR,Cleveland,14.9,6,11.5
5027,AR,Columbia,14.9,6,11.5
5029,AR,Conway,14.9,6,11.5
5031,AR,Craighead,14.9,6,11.5
5033,AR,Crawford,14.9,6,11.5
5035,AR,Crittenden,14.9,6,11.5
5037,AR,Cross,14.9,6,11.5
5039,AR,Dallas,14.9,6,11.5
5041,AR,Desha,14.9,6,11.5
5043,AR,Drew,14.9,6,11.5
5045,AR,Faulkner,14.9,6,11.5
5047,AR,Franklin,14.9,6,11.5
5049,AR,Fulton,14.9,6,11.5
5051,AR,Garland,14.9,6,11.5
5053,AR,Grant,14.9,6,11.5
5055,AR,Greene,14.9,6,11.5
5057,AR,Hempstead,14.9,6,11.5
5059,AR,Hot Spring,14.9,6,11.5
5061,AR,Howard,14.9,6,11.5
5063,AR,Independence,14.9,6,11.5
5065,AR,Izard,14.9,6,11.5
5067,AR,Jackson,14.9,6,11.5
5069,AR,Jefferson,14.9,6,11.5
5071,AR,Johnson,14.9,6,11.5
5073,AR,Lafayette,14.9,6,11.5
5075,AR,Lawrence,14.9,6,11.5
5077,AR,Lee,14.9,6,11.5
5079,AR,Lincoln,14.9,6,11.5
5081,AR,Little River,14.9,6,11.5
5083,AR,Logan,14.9,6,11.5
5085,AR,Lonoke,14.9,6,11.5
5087,AR,Madison,14.9,6,11.5
5089,AR,Marion,14.9,6,11.5
5091,AR,Miller,14.9,6,11.5
5093,AR,Mississippi,14.9,6,11.5
5095,AR,Monroe,14.9,6,11.5
5097,AR,Montgomery,14.9,6,11.5
5099,AR,Nevada,14.9,6,11.5
5101,AR,Newton,14.9,6,11.5
5103,AR,Ouachita,14.9,6,11.5
5105,AR,Perry,14.9,6,11.5
5107,AR,Phillips,14.9,6,11.5
5109,AR,Pike,14.9,6,11.5
5111,AR,Poinsett,14.9,6,11.5
5113,AR,Polk,14.9,6,11.5
5115,AR,Pope,14.9,6,11.5
5117,AR,Prairie,14.9,6,11.5
5119,AR,Pulaski,14.9,6,11.5
5121,AR,Randolph,14.9,6,11.5
5123,AR,St. Francis,14.9,6,11.5
5125,AR,Saline,14.9,6,11.5
5127,AR,Scott,14.9,6,11.5
5129,AR,Searcy,14.9,6,11.5
5131,AR,Sebastian,14.9,6,11.5
5133,AR,Sevier,14.9,6,11.5
5135,AR,Sharp,14.9,6,11.5
5137,AR,Stone,14.9,6,11.5
5139,AR,Union,14.9,6,11.5
5141,AR,Van Buren,14.9,6,11.5
5143,AR,Washington,14.9,6,11.5
5145,AR,White,14.9,6,11.5
5147,AR,Woodruff,14.9,6,11.5
5149,AR,Yell,14.9,6,11.5
6001,CA,Alameda,12.6,4.5,10.8
6003,CA,Alpine,12.6,4.5,10.8
6005,CA,Amador,12.6,4.5,10.8
6007,CA,Butte,12.6,4.5,10.8
6009,CA,Calaveras,12.6,4.5,10.8
6011,CA,Colusa,12.6,4.5,10.8
6013,CA,Contra Costa,12.6,4.5,10.8
6015,CA,Del Norte,12.6,4.5,10.8
6017,CA,El Dorado,12.6,4.5,10.8
6019,CA,Fresno,12.6,4.5,10.8
6021,CA,Glenn,12.6,4.5,10.8
6023,CA,Humboldt,12.6,4.5,10.8
6025,CA,Imperial,12.6,4.5,10.8
6027,CA,Inyo,12.6,4.5,10.8
6029,CA,Kern,12.6,4.5,10.8
6031,CA,Kings,12.6,4.5,10.8
6033,CA,Lake,12.6,4.5,10.8
6035,CA,Lassen,12.6,4.5,10.8
6037,CA,Los Angeles,12.6,4.5,10.8
6039,CA,Madera,12.6,4.5,10.8
6041,CA,Marin,12.6,4.5,10.8
6043,CA,Mariposa,12.6,4.5,10.8
6045,CA,Mendocino,12.6,4.5,10.8
6047,CA,Merced,12.6,4.5,10.8
6049,CA,Modoc,12.6,4.5,10.8
6051,CA,Mono,12.6,4.5,10.8
6053,CA,Monterey,12.6,4.5,10.8
6055,CA,Napa,12.6,4.5,10.8
6057,CA,Nevada,12.6,4.5,10.8
6059,CA,Orange,12.6,4.5,10.8
6061,CA,Placer,12.6,4.5,10.8
6063,CA,Plumas,12.6,4.5,10.8
6065,CA,Riverside,12.6,4.5,10.8
6067,CA,Sacramento,12.6,4.5,10.8
6069,CA,San Benito,12.6,4.5,10.8
6071,CA,San Bernardino,12.6,4.5,10.8
6073,CA,San Diego,12.6,4.5,10.8
6075,CA,San Francisco,12.6,4.5,10.8
6077,CA,San Joaquin,12.6,4.5,10.8
6079,CA,San Luis Obispo,12.6,4.5,10.8
6081,CA,San Mateo,12.6,4.5,10.8
6083,CA,Santa Barbara,12.6,4.5,10.8
6085,CA,Santa Clara,12.6,4.5,10.8
6087,CA,Santa Cruz,12.6,4.5,10.8
6089,CA,Shasta,12.6,4.5,10.8
6091,CA,Sierra,12.6,4.5,10.8
6093,CA,Siskiyou,12.6,4.5,10.8
6095,CA,Solano,12.6,4.5,10.8
6097,CA,Sonoma,12.6,4.5,10.8
6099,CA,Stanislaus,12.6,4.5,10.8
6101,CA,Sutter,12.6,4.5,10.8
6103,CA,Tehama,12.6,4.5,10.8
6105,CA,Trinity,12.6,4.5,10.8
6107,CA,Tulare,12.6,4.5,10.8
6109,CA,Tuolumne,12.6,4.5,10.8
6111,CA,Ventura,12.6,4.5,10.8
6113,CA,Yolo,12.6,4.5,10.8
6115,CA,Yuba,12.6,4.5,10.8
8001,CO,Adams,12.1,5.1,8.8
8003,CO,Alamosa,12.1,5.1,8.8
8005,CO,Arapahoe,12.1,5.1,8.8
8007,CO,Archuleta,12.1,5.1,8.8
8009,CO,Baca,12.1,5.1,8.8
8011,CO,Bent,12.1,5.1,8.8
8013,CO,Boulder,12.1,5.1,8.8
8014,CO,Broomfield,12.1,5.1,8.8
8015,CO,Chaffee,12.1,5.1,8.8
8017,CO,Cheyenne,12.1,5.1,8.8
8019,CO,Clear Creek,12.1,5.1,8.8
8021,CO,Conejos,12.1,5.1,8.8
8023,CO,Costilla,12.1,5.1,8.8
8025,CO,Crowley,12.1,5.1,8.8
8027,CO,Custer,12.1,5.1,8.8
8029,CO,Delta,12.1,5.1,8.8
8031,CO,Denver,12.1,5.1,8.8
8033,CO,Dolores,12.1,5.1,8.8
8035,CO,Douglas,12.1,5.1,8.8
8037,CO,Eagle,12.1,5.1,8.8
8039,CO,Elbert,12.1,5.1,8.8
8041,CO,El Paso,12.1,5.1,8.8
8043,CO,Fremont,12.1,5.1,8.8
8045,CO,Garfield,12.1,5.1,8.8
8047,CO,Gilpin,12.1,5.1,8.8
8049,CO,Grand,12.1,5.1,8.8
8051,CO,Gunnison,12.1,5.1,8.8
8053,CO,Hinsdale,12.1,5.1,8.8
8055,CO,Huerfano,12.1,5.1,8.8
8057,CO,Jackson,12.1,5.1,8.8
8059,CO,Jefferson,12.1,5.1,8.8
8061,CO,Kiowa,12.1,5.1,8.8
8063,CO,Kit Carson,12.1,5.1,8.8
8065,CO,Lake,12.1,5.1,8.8
8067,CO,La Plata,12.1,5.1,8.8
8069,CO,Larimer,12.1,5.1,8.8
8071,CO,Las Animas,12.1,5.1,8.8
8073,CO,Lincoln,12.1,5.1,8.8
8075,CO,Logan,12.1,5.1,8.8
8077,CO,Mesa,12.1,5.1,8.8
8079,CO,Mineral,12.1,5.1,8.8
8081,CO,Moffat,12.1,5.1,8.8
8083,CO,Montezuma,12.1,5.1,8.8
