FIPS,State,County,FFR,FSR
1001,AL,Autauga,36,29
1003,AL,Baldwin,132,221
1005,AL,Barbour,22,15
1007,AL,Bibb,5,5
1009,AL,Blount,21,15
1011,AL,Bullock,3,1
1013,AL,Butler,17,10
1015,AL,Calhoun,103,77
1017,AL,Chambers,26,16
1019,AL,Cherokee,15,11
1021,AL,Chilton,20,18
1023,AL,Choctaw,6,5
1025,AL,Clarke,26,15
1027,AL,Clay,4,6
1029,AL,Cleburne,8,2
1031,AL,Coffee,34,28
1033,AL,Colbert,52,38
1035,AL,Conecuh,7,4
1037,AL,Coosa,1,0
1039,AL,Covington,24,18
1041,AL,Crenshaw,5,6
1043,AL,Cullman,53,48
1045,AL,Dale,34,30
1047,AL,Dallas,19,15
1049,AL,DeKalb,43,31
1051,AL,Elmore,45,38
1053,AL,Escambia,27,20
1055,AL,Etowah,79,57
1057,AL,Fayette,9,9
1059,AL,Franklin,18,16
1061,AL,Geneva,10,11
1063,AL,Greene,1,2
1065,AL,Hale,7,4
1067,AL,Henry,10,11
1069,AL,Houston,97,77
1071,AL,Jackson,29,25
1073,AL,Jefferson,642,376
1075,AL,Lamar,6,10
1077,AL,Lauderdale,72,70
1079,AL,Lawrence,16,17
1081,AL,Lee,128,109
1083,AL,Limestone,51,39
1085,AL,Lowndes,0,2
1087,AL,Macon,9,2
1089,AL,Madison,330,226
1091,AL,Marengo,19,9
1093,AL,Marion,17,20
1095,AL,Marshall,71,60
1097,AL,Mobile,253,217
1099,AL,Monroe,9,10
1101,AL,Montgomery,210,141
1103,AL,Morgan,99,67
1105,AL,Perry,1,6
1107,AL,Pickens,8,6
1109,AL,Pike,33,22
1111,AL,Randolph,9,7
1113,AL,Russell,44,21
1115,AL,St. Clair,49,44
1117,AL,Shelby,141,132
1119,AL,Sumter,7,6
1121,AL,Talladega,49,37
1123,AL,Tallapoosa,20,17
1125,AL,Tuscaloosa,161,110
1127,AL,Walker,41,34
1129,AL,Washington,3,6
1131,AL,Wilcox,5,5
1133,AL,Winston,10,15
2013,AK,Aleutians East,1,1
2016,AK,Aleutians West,0,2
2020,AK,Anchorage,204,231
2050,AK,Bethel,7,7
2060,AK,Bristol Bay,0,2
2068,AK,Denali,2,7
2070,AK,Dillingham,1,2
2090,AK,Fairbanks North Star,49,65
2100,AK,Haines,1,6
2105,AK,Hoonah-Angoon,2,3
2110,AK,Juneau,31,29
2122,AK,Kenai Peninsula,39,77
2130,AK,Ketchikan Gateway,12,12
2150,AK,Kodiak Island,7,11
2164,AK,Lake and Peninsula,0,0
2170,AK,Matanuska-Susitna,43,50
2180,AK,Nome,1,10
2185,AK,North Slope,2,5
2188,AK,Northwest Arctic,2,1
2195,AK,Petersburg,4,1
2198,AK,Prince of Wales-Hyder,3,2
2220,AK,Sitka,4,8
2230,AK,Skagway,2,10
2240,AK,Southeast Fairbanks,2,7
2261,AK,Valdez-Cordova,9,15
2270,AK,Wade Hampton,0,0
2275,AK,Wrangell,1,1
2282,AK,Yakutat,0,0
2290,AK,Yukon-Koyukuk,0,1
4001,AZ,Apache,16,18
4003,AZ,Cochise,61,96
4005,AZ,Coconino,120,162
4007,AZ,Gila,34,55
4009,AZ,Graham,16,12
4011,AZ,Greenlee,2,7
4012,AZ,La Paz,15,30
4013,AZ,Maricopa,2781,2384
4015,AZ,Mohave,114,129
4017,AZ,Navajo,54,78
4019,AZ,Pima,611,651
4021,AZ,Pinal,115,109
4023,AZ,Santa Cruz,27,40
4025,AZ,Yavapai,128,205
4027,AZ,Yuma,117,77
5001,AR,Arkansas,11,12
5003,AR,Ashley,15,6
5005,AR,Baxter,32,31
5007,AR,Benton,160,153
5009,AR,Boone,23,25
5011,AR,Bradley,6,6
5013,AR,Calhoun,2,3
5015,AR,Carroll,15,51
5017,AR,Chicot,5,2
5019,AR,Clark,19,11
5021,AR,Clay,9,8
5023,AR,Cleburne,16,24
5025,AR,Cleveland,1,1
5027,AR,Columbia,22,8
5029,AR,Conway,7,12
5031,AR,Craighead,76,70
5033,AR,Crawford,28,30
5035,AR,Crittenden,34,20
5037,AR,Cross,12,7
5039,AR,Dallas,3,6
