State,County,p2010,p2011,p2012,p2013,p2014,p2015,p2016,p2017,p2018
AL,Autauga,54754,55208,54936,54713,54876,54838,55242,55443,55601
AL,Baldwin,183111,186540,190143,194886,199189,202995,207712,212619,218022
AL,Barbour,27330,27350,27174,26944,26758,26294,25819,25158,24881
AL,Bibb,22872,22747,22664,22516,22541,22562,22576,22555,22400
AL,Blount,57373,57554,57570,57611,57521,57522,57517,57827,57840
AL,Bullock,10878,10677,10607,10551,10665,10400,10381,10176,10138
AL,Butler,20942,20878,20687,20374,20343,20176,20029,19898,19680
AL,Calhoun,118477,117797,117257,116541,115995,115536,115018,114664,114277
AL,Chambers,34122,34030,34104,34143,33980,34007,33771,33758,33615
AL,Cherokee,25974,25994,25963,26025,25902,25739,25776,25815,26032
AL,Chilton,43653,43687,43582,43634,43769,43717,43896,44117,44153
AL,Choctaw,13849,13607,13561,13396,13317,13233,13049,12935,12841
AL,Clarke,25765,25582,25154,25122,24865,24703,24349,24097,23920
AL,Clay,13897,13686,13432,13404,13440,13413,13393,13367,13275
AL,Cleburne,15004,14928,14889,14976,15025,14917,14853,14906,14987
AL,Coffee,50205,50435,51136,50677,50655,50952,51145,51777,51909
AL,Colbert,54525,54535,54572,54533,54468,54370,54367,54509,54762
AL,Conecuh,13234,13192,13044,12911,12679,12680,12501,12435,12277
AL,Coosa,11782,11487,11347,11256,11038,10938,10826,10757,10715
AL,Covington,37812,38019,37804,37812,37756,37551,37382,37078,36986
AL,Crenshaw,13874,13899,13921,13854,13859,13857,13922,13861,13824
AL,Cullman,80454,80401,80273,80688,81067,81764,82456,82836,83442
AL,Dale,50390,50112,50284,49772,49417,49349,49301,49254,48956
AL,Dallas,43860,43256,42795,41983,41562,40948,40092,39235,38310
AL,DeKalb,71159,71352,70937,70911,70999,71112,71101,71404,71385
AL,Elmore,79577,80009,80216,80569,80568,80924,81263,81416,81887
AL,Escambia,38344,38201,38023,37763,37738,37665,37488,36999,36748
AL,Etowah,104455,104358,104273,103883,103407,103003,102849,102937,102501
AL,Fayette,17227,17047,16941,16819,16768,16693,16555,16474,16433
AL,Franklin,31745,31771,31689,31552,31561,31541,31654,31590,31363
AL,Geneva,26782,26759,26927,26682,26597,26636,26498,26410,26314
AL,Greene,8995,8905,8850,8749,8585,8509,8483,8318,8233
AL,Hale,15745,15358,15360,15247,15047,15018,14835,14809,14726
AL,Henry,17298,17377,17156,17132,17082,17106,17083,17140,17209
AL,Houston,101790,102470,103365,103638,104156,104268,104239,104373,104722
AL,Jackson,53183,53209,53077,52958,52562,52218,52048,51907,51736
AL,Jefferson,658158,657973,657967,659196,659918,660370,660326,659546,659300
AL,Lamar,14494,14287,14245,14210,14067,13925,13927,13902,13844
AL,Lauderdale,92736,92606,92664,92706,93013,92477,92457,92591,92387
AL,Lawrence,34344,34049,33807,33577,33448,33138,33233,33077,32957
AL,Lee,140806,144130,148581,151831,154545,157009,159297,161641,163941
AL,Limestone,83173,85542,87313,88910,90596,91571,92841,94076,96174
AL,Lowndes,11289,11139,10853,10665,10498,10353,10253,10104,9974
AL,Macon,21505,21281,20611,20026,19648,19306,19064,18811,18439
AL,Madison,336093,339527,342713,346633,349807,352989,356821,361665,366519
AL,Marengo,20946,20651,20367,20114,19980,19760,19516,19366,19066
AL,Marion,30817,30651,30487,30228,30202,30123,29964,29771,29763
AL,Marshall,93124,93892,94268,94370,94277,94606,95123,95609,96109
AL,Mobile,413319,413242,413922,414210,414590,414935,415499,414515,413757
AL,Monroe,23007,22796,22582,22171,21927,21717,21545,21302,21067
AL,Montgomery,229510,229168,228861,228173,227546,227244,227072,227079,225763
AL,Morgan,119604,120013,120092,119574,119458,119281,118970,118811,119089
AL,Perry,10567,10455,10171,10005,9804,9638,9528,9319,9140
AL,Pickens,19749,19354,19312,19305,20283,20776,20309,20182,19938
AL,Pike,32963,33017,33210,33713,33197,33522,33521,33435,33338
AL,Randolph,22937,22743,22534,22548,22355,22598,22508,22683,22725
AL,Russell,53307,54831,57482,59133,59211,58837,58208,57028,57781
AL,St.Clair,83566,83963,84748,85805,85995,86546,87323,87976,88690
AL,Shelby,196095,197992,200964,204108,206356,209084,211430,213729,215707
AL,Sumter,13730,13491,13441,13396,13275,13206,12974,12780,12691
AL,Talladega,82100,81777,82078,81513,81450,81055,80468,80022,79828
AL,Tallapoosa,41476,41397,41044,41028,40887,40611,40570,40613,40497
AL,Tuscaloosa,194996,196719,198794,201084,203097,204736,206614,207709,208911
AL,Walker,66997,66577,66096,65768,65336,64933,64548,63935,63711
AL,Washington,17627,17354,17146,16897,16868,16828,16610,16532,16378
AL,Wilcox,11564,11442,11308,11152,10953,10903,10851,10712,10627
AL,Winston,24412,24358,24190,24186,24137,23929,23906,23745,23660
AK,AleutiansEastBorough,3166,3260,3295,3345,3348,3381,3388,3495,3515
AK,AleutiansWestCensusArea,5560,5581,5675,5777,5822,5781,5698,5726,5723
AK,AnchorageMunicipality,293310,296154,298233,301155,299927,297613,297216,294264,291538
AK,BethelCensusArea,17085,17415,17654,17847,17933,17955,18019,18079,18216
AK,BristolBayBorough,1002,1030,980,952,949,905,903,870,877
AK,DenaliBorough,1835,1872,1908,1942,1915,1927,2039,2066,2059
AK,DillinghamCensusArea,4850,4948,4951,4979,4983,4987,4970,4935,5000
AK,FairbanksNorthStarBorough,98260,98104,100305,100928,99256,99630,100683,99725,98971
AK,HainesBorough,2501,2573,2577,2558,2555,2516,2527,2518,2474
AK,Hoonah-AngoonCensusArea,2113,2090,2120,2121,2103,2137,2128,2139,2151
AK,JuneauCityandBorough,31386,32152,32378,32587,32476,32601,32400,32061,32113
AK,KenaiPeninsulaBorough,55561,56302,56906,57015,57565,58029,58452,58522,58533
AK,KetchikanGatewayBorough,13566,13665,13723,13716,13801,13706,13714,13882,13918
AK,KodiakIslandBorough,13650,13806,14038,14089,13904,13766,13710,13519,13345
AK,KusilvakCensusArea,7465,7648,7791,7972,8098,8187,8174,8230,8303
AK,LakeandPeninsulaBorough,1639,1648,1647,1665,1645,1592,1598,1607,1587
AK,Matanuska-SusitnaBorough,89735,91716,93670,95877,98104,101068,104157,106383,107610
AK,NomeCensusArea,9544,9775,9819,9845,9803,9885,9961,9968,10008
AK,NorthSlopeBorough,9476,9550,9692,9786,9769,9795,9718,9831,9872
AK,NorthwestArcticBorough,7559,7705,7707,7725,7771,7771,7689,7767,7671
AK,PetersburgBorough,3219,3254,3278,3293,3265,3259,3270,3259,3221
AK,PrinceofWales-HyderCensusArea,6213,6374,6421,6443,6460,6505,6516,6469,6422
AK,SitkaCityandBorough,8881,8886,9019,8973,8839,8778,8738,8686,8647
AK,SkagwayMunicipality,968,962,999,1025,1053,1087,1132,1162,1148
AK,SoutheastFairbanksCensusArea,7061,7148,7170,6984,6922,6804,6849,6885,6918
AK,Valdez-CordovaCensusArea,9655,9738,9730,9776,9475,9322,9318,9224,9164
AK,WrangellCityandBorough,2371,2395,2425,2455,2447,2459,2501,2511,2503
AK,YakutatCityandBorough,662,656,664,651,655,635,613,607,604
AK,Yukon-KoyukukCensusArea,5613,5631,5624,5564,5464,5466,5423,5396,5327
AZ,Apache,71832,72186,72238,72341,71820,71022,71403,71545,71818
AZ,Cochise,131822,133111,132026,129608,127352,126502,125782,124990,126770
AZ,Coconino,134618,134269,136152,136713,137583,139024,140515,141107,142854
AZ,Gila,53571,53444,53003,53022,53070,53006,53404,53629,53889
AZ,Graham,37159,37134,37024,37454,38124,37873,37823,37501,38072
AZ,Greenlee,8332,8577,8756,8908,9341,9575,9651,9468,9483
AZ,LaPaz,20497,20608,20530,20532,20529,20483,20661,20735,21098
AZ,Maricopa,3825191,3875065,3948225,4019019,4095508,4175049,4258603,4329580,4410824
AZ,Mohave,200315,202801,203356,203158,203474,204661,205521,207114,209550
AZ,Navajo,107696,107545,107314,107145,107724,107688,108523,109144,110445
AZ,Pima,981653,988407,993215,997437,1004675,1009737,1017624,1027502,1039073
AZ,Pinal,379547,378760,382828,385656,395915,406073,417363,432114,447138
AZ,SantaCruz,47420,47684,47396,46991,46703,46602,46468,46636,46511
AZ,Yavapai,210983,211023,211977,214426,217739,220845,224591,228055,231993
AZ,Yuma,197138,202883,202589,202589,204283,205456,207520,209756,212128
AR,Arkansas,19011,18872,18962,18754,18476,18325,18145,17904,17769
AR,Ashley,21828,21671,21516,21278,20959,20838,20525,20319,20046
AR,Baxter,41511,41347,41082,40984,40884,41136,41139,41316,41619
AR,Benton,222592,229154,234949,239485,244882,251673,259234,266504,272608
AR,Boone,36882,37070,37317,37312,37102,37112,37260,37486,37480
AR,Bradley,11474,11437,11273,11129,11016,11007,10967,10853,10897
AR,Calhoun,5362,5243,5278,5193,5168,5201,5142,5224,5277
AR,Carroll,27551,27462,27621,27792,27735,27775,27753,27947,28223
AR,Chicot,11800,11704,11501,11360,11202,10960,10892,10639,10438
AR,Clark,22927,22927,22759,22588,22565,22517,22600,22180,22061
AR,Clay,16049,15874,15708,15482,15297,15200,15051,14910,14847
AR,Cleburne,26003,25890,25776,25641,25605,25361,25174,25046,24965
AR,Cleveland,8678,8673,8608,8515,8398,8284,8249,8181,8018
AR,Columbia,24725,24703,24407,24282,24046,24126,24049,23700,23537
AR,Conway,21221,21127,21139,21085,20991,20930,20871,20848,20891
AR,Craighead,96744,98392,99986,101644,102661,104419,105830,107037,108558
AR,Crawford,61972,61807,61923,61679,61817,61910,62309,62917,63406
AR,Crittenden,50959,50511,50075,49747,49577,49071,49345,48730,48342
AR,Cross,17862,17808,17704,17523,17183,17254,17024,16852,16676
AR,Dallas,8064,8053,7951,7892,7692,7531,7402,7354,7182
AR,Desha,12953,12729,12588,12500,12270,12022,11899,11732,11512
AR,Drew,18664,18732,18786,18683,18640,18617,18552,18373,18328
AR,Faulkner,114031,116270,118523,119184,120567,121209,122100,123397,124806
AR,Franklin,18135,18001,17952,17907,17820,17755,17669,17844,17810
AR,Fulton,12215,12239,12170,12171,12083,12137,12096,12112,12269
AR,Garland,96069,96852,96989,97653,97754,97816,98311,98444,99154
AR,Grant,17886,17945,18036,18044,18073,18014,18059,18096,18188
AR,Greene,42200,42757,43226,43160,43787,44298,44730,44977,45325
AR,Hempstead,22597,22486,22344,22427,22338,22094,22036,21881,21741
AR,HotSpring,33229,33136,33497,33516,33400,33480,33419,33600,33701
AR,Howard,13800,13820,13681,13557,13510,13353,13366,13377,13341
AR,Independence,36810,36881,36951,36883,37079,37034,37118,37409,37678
AR,Izard,13724,13569,13537,13406,13553,13483,13486,13680,13593
AR,Jackson,18057,17887,17682,17733,17595,17371,17290,17057,16811
AR,Jefferson,77339,76032,74642,73202,72469,71868,70400,69269,68114
AR,Johnson,25552,25668,25909,25930,25971,26103,26150,26489,26742
AR,Lafayette,7647,7535,7450,7285,7164,7015,6893,6822,6682
AR,Lawrence,17518,17280,17040,17055,16971,16702,16649,16590,16434
AR,Lee,10396,10293,10185,10013,9843,9676,9340,9147,8985
AR,Lincoln,14090,14339,14181,14062,14030,13866,13724,13473,13383
AR,LittleRiver,13130,12943,12916,12739,12524,12421,12421,12393,12326
AR,Logan,22309,22240,21924,22026,21859,21713,21725,21753,21737
AR,Lonoke,68720,69497,70079,70715,71338,71336,71819,72878,73657
AR,Madison,15684,15660,15596,15680,15733,15707,16112,16349,16481
AR,Marion,16666,16672,16622,16443,16420,16211,16378,16460,16722
AR,Miller,43561,43757,43660,43461,43566,43912,43842,43884,43592
AR,Mississippi,46394,46024,45550,44697,44250,43715,42879,42073,41239
AR,Monroe,8138,8098,7853,7690,7635,7453,7203,7052,6900
AR,Montgomery,9506,9397,9337,9250,9158,9029,8949,8907,8924
AR,Nevada,8998,9008,8910,8777,8651,8513,8380,8328,8326
AR,Newton,8316,8262,8062,8054,7879,7858,7860,7837,7805
AR,Ouachita,26047,25737,25401,24952,24763,24321,24015,23824,23606
AR,Perry,10441,10377,10321,10328,10353,10298,10274,10335,10352
AR,Phillips,21676,21407,20740,20443,19960,19557,19062,18564,18029
AR,Pike,11264,11239,11252,11119,10987,10835,10825,10721,10673
AR,Poinsett,24514,24445,24296,24185,24152,24016,24007,24121,23974
AR,Polk,20671,20558,20420,20349,20255,20196,20151,20162,20049
AR,Pope,62109,62676,62621,62583,63111,63577,63876,63655,64000
AR,Prairie,8721,8597,8481,8374,8345,8297,8252,8250,8074
AR,Pulaski,383576,386982,389257,391544,392990,393643,394386,393616,392680
AR,Randolph,17956,17971,17839,17626,17568,17427,17427,17645,17948
AR,St.Francis,28195,27989,27993,27510,27096,26654,26344,25938,25439
AR,Saline,107653,109541,111430,113339,114861,116397,117695,119669,121421
AR,Scott,11252,11238,11009,10911,10665,10540,10313,10374,10319
AR,Searcy,8176,8071,7999,7985,7917,7831,7964,7947,7958
AR,Sebastian,125761,127027,127597,127211,126784,127428,127477,127865,127753
AR,Sevier,17150,17217,17190,17370,17429,17272,16980,17146,17139
AR,Sharp,17251,17271,17035,17045,16822,16811,17014,17200,17366
AR,Stone,12391,12499,12541,12423,12379,12380,12498,12517,12457
AR,Union,41573,41398,40862,40606,40140,40093,39883,39420,39126
AR,VanBuren,17287,17189,17136,16960,16880,16773,16629,16533,16603
AR,Washington,204019,208038,211751,216011,219976,224491,228438,232780,236961
AR,White,77348,78065,78629,78553,78459,78925,78967,78941,78727
AR,Woodruff,7249,7176,7066,7031,6874,6721,6616,6600,6490
AR,Yell,22149,21965,21830,21823,21774,21513,21501,21544,21535
CA,Alameda,1513043,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
CA,Alpine,1161,1093,1110,1127,1082,1087,1057,1121,1101
CA,Amador,37884,37538,37101,36625,36738,37037,37438,38551,39383
CA,Butte,219945,219952,220873,221664,223570,224812,226529,229207,231256
CA,Calaveras,45468,45160,44821,44660,44673,44957,45303,45642,45602
CA,Colusa,21437,21327,21294,21265,21198,21269,21553,21675,21627
CA,ContraCosta,1052559,1065452,1077731,1093758,1109358,1124606,1137194,1144863,1150215
